job_id,job_title,company,experience,salary,location,job_age,skills
32,Python/Django Developer - Immediately (Remote),INFOBIZ LIMITED,1-6 Yrs,Not disclosed,Chennai| Pune| Delhi| Trivandrum| Mumbai| Ahmedabad| Bengaluru| Coimbatore| Hyderabad,10 DAYS AGO,Rest|Front End|Django|Html5|Web Technologies|Javascript|Sqlalchemy|JQuery
33,Python Developer,Societe Generale Global Solution Centre Pvt Ltd,4-6 Yrs,Not disclosed,Bengaluru| India,12 DAYS AGO,Retail Banking|Java|Investment Banking|Private Banking|Finance|Hadoop|Pytest|Big Data
34,Lead- Python Developer,Societe Generale Global Solution Centre Pvt Ltd,8-10 Yrs,Not disclosed,Bengaluru,15 DAYS AGO,Airflow|Redhat Linux|GIT|Celery|Jenkin|Sonar|Ansible|Veritas Cluster
35,Python Developers Required For Immediate Joining @ Bangalore,RANDSTAD INDIA PVT LTD,4-9 Yrs,Not disclosed,Bengaluru,4 DAYS AGO,tcp|rest|python|django|http|flask|python developer
36,Module Lead - Python Developer,CenturyLink Technologies India Pvt Ltd,6-9 Yrs,Not disclosed,Bengaluru,3 DAYS AGO,Django|Javascript|Perl|Python|SQL
37,Python Developer,RANDSTAD INDIA PVT LTD,4-8 Yrs,Not disclosed,Bengaluru,4 DAYS AGO,GIT|Sockets|Linux|Django|Build|React.Js|FreeBSD|Devops
38,Web Developer(React JS C/C++Python)_ Contract To Hire _Bangalore,RANDSTAD INDIA PVT LTD,4-9 Yrs,Not disclosed,Bengaluru,12 DAYS AGO,C++|C|UX|Networking|UI|React.Js|AWS|Python
39,Macro and Python Developer - Sr. Associate,Societe Generale Global Solution Centre Pvt Ltd,3-6 Yrs,Not disclosed,Bengaluru,15 DAYS AGO,C#|Angularjs|Web Api|CSS|Typescript|HTML|Node.Js|JSON
40,Macro and Python Developer - Sr. Associate,Societe Generale Global Solution Centre Pvt Ltd,3-6 Yrs,Not disclosed,Bengaluru,15 DAYS AGO,C#|Angularjs|Web Api|CSS|Typescript|HTML|Node.Js|JSON
41,Python Automation Tester/Developer,Cibersites India Private Limited,3-8 Yrs,Not disclosed,Bengaluru,2 DAYS AGO,python|selenium|appium|web application|cucumber|mobile application
42,Software Engineer - Java Python PL/SQL,Amdocs Development Center India Pvt. Ltd.,3-5 Yrs,Not disclosed,Gurgaon,3 DAYS AGO,Socket programming|Hibernate|UML|Memory management|OOAD|Debugging|PLSQL|software quality
43,Python/CI-CD DevOps Developer,Cibersites India Private Limited,4-9 Yrs,Not disclosed,Bengaluru,4 DAYS AGO,Linux Administration|GIT|Docker|Ansible|AWS|Devops|Python
44,Python Developer,Platinus Technologies Private Limited,6-11 Yrs,400000 - 900000 PA.,Pune| Bengaluru| Hyderabad,TODAY,Communication Skills|Part Time|CSS|NoSQL|Django|Javascript|restful api|react
45,Hiring For Fresher (SQL/Java/Python) - Agilisium India Pvt Ltd,AGILISIUM CONSULTING INDIA PRIVATE LIMITED,0-1 Yrs,Not disclosed,Chennai,4 DAYS AGO,Java|SQL|Python|C++|C|B.Tech
46,Python Developer(APM),eClerx Services Ltd.,3-6 Yrs,300000 - 700000 PA.,Pune,3 DAYS AGO,Matplotlib|Tableau|Informatica|ETL|SSIS|Numpy|Python|Panda
